,_id,_index,_score,_source.dev_id,_source.relative_humidity_3,_source.temperature_2,_source.time,_type
93,fba81130-e492-41d6-8d35-65c190f5943a,coffee_sensors,1.0,aws-dev-01,63.0,16.0,2018-09-01T14:51:17.132976783Z,sensor
94,e75c0a2f-a19d-4e70-942c-ffb484c73ad3,coffee_sensors,1.0,aws-dev-01,65.0,15.0,2018-09-01T15:32:21.802078684Z,sensor
95,84962ba0-c47f-4ce3-9f43-858af8c77cbe,coffee_sensors,1.0,aws-dev-01,65.0,15.0,2018-09-01T15:42:34.224115018Z,sensor
96,a1a623e4-0e59-49ee-b644-017c9100c625,coffee_sensors,1.0,aws-dev-01,65.0,15.0,2018-09-01T16:13:38.467878202Z,sensor
97,7e79fa97-56a6-4fd2-8f20-76d4290198aa,coffee_sensors,1.0,aws-dev-01,66.0,15.0,2018-09-01T16:24:00.040304015Z,sensor
98,487ba237-a657-4ee0-b3f1-b2ee5aa9b6f5,coffee_sensors,1.0,aws-dev-01,59.0,17.0,2018-09-01T13:55:02.84116975Z,sensor
99,5848838d-c5fd-40a2-bc07-82e0aa8a49c6,coffee_sensors,1.0,aws-dev-01,,,2018-09-01T13:19:07.163541044Z,sensor
100,e50d9fc0-5f9d-4bb6-bc1d-50b3e2c34e4b,coffee_sensors,1.0,aws-dev-01,70.0,15.0,2018-09-01T17:20:50.183516372Z,sensor
101,5097e556-9d29-4e15-a599-0ead73cafb4e,coffee_sensors,1.0,aws-dev-01,70.0,15.0,2018-09-01T18:48:47.753436402Z,sensor
102,f42fe92e-a586-4271-86c1-65784ae2ddc8,coffee_sensors,1.0,aws-dev-01,70.0,15.0,2018-09-01T18:53:53.945594168Z,sensor
103,e64ae149-7955-49e1-887f-86b97b2bdec7,coffee_sensors,1.0,aws-dev-01,70.0,15.0,2018-09-01T19:04:06.354239466Z,sensor
104,9673b806-09a9-4762-b3a8-a6f61a383fd6,coffee_sensors,1.0,aws-dev-01,71.0,14.0,2018-09-01T20:21:15.493354382Z,sensor
105,df5bedbc-a45e-4fe6-8b18-663ded390865,coffee_sensors,1.0,aws-dev-01,71.0,14.0,2018-09-01T20:26:22.055979385Z,sensor
106,1f7db91c-5f04-434d-a6a8-16237ca29005,coffee_sensors,1.0,aws-dev-01,71.0,14.0,2018-09-01T21:07:53.426554929Z,sensor
107,5f8daab1-84bf-46b8-88e4-efb715e6275f,coffee_sensors,1.0,aws-dev-01,,,2018-09-01T19:45:19.839479628Z,sensor
108,e0c9e4d0-2fed-4683-8ac3-2761ef0aff5c,coffee_sensors,1.0,aws-dev-01,,,2018-09-01T17:00:10.14933096Z,sensor
109,aec95122-bb4f-439d-8462-65cd67a8c797,coffee_sensors,1.0,aws-dev-01,71.0,14.0,2018-09-01T21:33:39.404503453Z,sensor
110,880ec5d8-857b-452f-ad29-4a64e659e223,coffee_sensors,1.0,aws-dev-01,71.0,14.0,2018-09-01T21:49:04.056982652Z,sensor
111,00193758-047e-4924-b172-e8638876a7d0,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-01T22:09:28.878828094Z,sensor
112,273d5727-3f2e-4ccd-8752-94f36227d662,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-01T22:24:50.653370191Z,sensor
113,82bce4e8-f7b2-40ce-9ea3-0b1d03438f06,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-01T23:11:10.646871313Z,sensor
114,2f09a5b1-8547-4232-a7dc-417ded574aff,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-01T23:26:32.009686434Z,sensor
115,92456678-f68a-498d-87da-398ddf5847c1,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-02T00:23:28.326671935Z,sensor
116,f3e10221-73a0-42f7-a2c3-458213a93d9b,coffee_sensors,1.0,aws-dev-01,73.0,14.0,2018-09-02T00:38:49.930721434Z,sensor
117,a21b695a-811c-4203-bd09-73ecb1452cb5,coffee_sensors,1.0,aws-dev-01,,,2018-09-01T23:52:26.851732931Z,sensor
118,8b2578b2-548a-4632-b766-caaa8e7cd043,coffee_sensors,1.0,aws-dev-01,73.0,14.0,2018-09-02T00:49:02.346877436Z,sensor
119,0f236528-bfa9-48a9-8223-5127fb0c08e5,coffee_sensors,1.0,aws-dev-01,73.0,14.0,2018-09-02T01:25:12.816627884Z,sensor
120,31e84460-408b-4698-bbf2-e312c79e19f9,coffee_sensors,1.0,aws-dev-01,75.0,14.0,2018-09-02T02:06:17.760367489Z,sensor
121,6e821c1b-6d3c-40e4-b817-299002d9d79b,coffee_sensors,1.0,aws-dev-01,78.0,14.0,2018-09-02T03:18:26.662727789Z,sensor
